Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,beta.transactionupdates.tieit.io,/jant.php,0,0,0,0,0,1,0,2,1,0,0,0,0,1
https,demovp.cruisesmekongriver.net,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,pokajca.web.app,/,0,2,1,0,0,2,0,1,1,0,0,0,0,1
http,mjaymu1hetezmtj0aa.filesusr.com,/html/c69417_3069841d505568614ed8bca153fc7adf.html,0,1,0,0,0,2,0,0,2,0,0,2,0,1
http,webmail.salemgroups.com,/cpsess3237707217/3rdparty/roundcube/,0,2,0,0,0,0,0,1,2,0,0,2,0,1
http,www-europe564598-com.filesusr.com,/html/2d7ee9_12c6e0a510bcf87de889516b01597d61.html,0,1,0,0,1,2,0,0,2,0,0,2,0,1
http,ssl.dsl.isl.mll.2kdkex.ravishamrah.ir,/.sdf/.qsx/,0,2,0,0,0,1,0,2,1,0,0,1,0,1
http,bokep-smp-viral2.duckdns.org,/,0,0,0,0,1,0,0,1,1,0,0,1,0,1
https,www.eastfortunesgi.cc,/,0,0,0,0,0,0,0,2,2,0,1,2,0,1
http,stolizaparketa.ru,/wp-content/themes/twentyfifteen/css/read/chinavali/index.php,0,1,1,0,0,1,0,1,1,0,0,0,0,1
http,albel.intnet.mu,/File/,0,0,0,0,0,0,0,2,0,0,0,0,0,1
http,suburbandiligentgreenware.issuepanm.repl.co,,0,0,0,0,0,2,0,1,0,0,0,0,0,1
https,recoverphrase125.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
http,beautybydriphigh.com,/wabet/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
http,freespingarena-gratis2022.duckdns.org,/,0,0,0,0,1,0,0,1,1,0,0,1,0,1
https,sites.google.com,/view/clickpagenewlogin2021,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,ikpumariana29.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,cef8vwt7y9h.typeform.com,/to/WjcE6Nfx,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https,sites.google.com,/view/yah000/home,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,riattiva.digital.mps.aggiornadati.top,/appweb/,0,0,0,0,0,1,0,2,1,0,0,0,0,1
https,sites.google.com,/view/weelcomsign/accueil,0,0,0,0,0,0,0,0,2,0,0,0,0,1
http,precoveridentitysacure.co.vu,/confirmid.php,0,0,0,0,0,2,0,0,1,0,1,1,0,1
https,4w8bmmjcw86e.clickfunnels.com,/optin1640250384353,0,2,0,0,0,0,0,0,2,0,0,2,0,1
https,affixwallet.net,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,verifybydomiain26.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,sitebuilder158529.dynadot.com,/,0,0,0,0,0,0,1,0,1,0,0,0,0,1
http,acessobradesco.digital,,0,0,0,0,0,0,0,1,2,0,0,2,0,1
https,www.ecowordpress.com,/clients/clients/final/final/clients/login.php,0,2,0,0,0,2,0,2,2,0,0,2,0,1
https,storage.googleapis.com,/bionat/xdragon1.html,0,0,0,0,0,2,0,0,1,1,0,1,0,1
https,support-chase-help.blogspot.com,/,0,0,0,0,1,0,1,2,1,1,0,1,0,1
